Participant ID||Start Date||End Date||Duration||Type||Object ID
13||2016-04-07 16:01:47.417||2016-04-07 16:01:48.501||1.084||startpage||1
13||2016-04-07 16:01:48.524||null||0.0||page||1
14||2016-04-07 16:01:52.279||null||0.0||questionnaire||1
14||2016-04-07 16:01:52.28||2016-04-07 16:01:53.64||1.36||startpage||1
14||null||null||0.0||question||1
14||null||null||0.0||question||3
14||2016-04-07 16:01:53.667||2016-04-07 16:01:57.968||4.301||page||1
14||null||null||0.0||question||2
14||2016-04-07 16:01:57.988||null||0.0||page||2
15||2016-04-07 16:02:06.313||null||0.0||page||2
15||2016-04-07 16:01:59.153||2016-04-07 16:02:01.295||2.142||startpage||1
15||2016-04-07 16:02:01.346||2016-04-07 16:02:02.802||1.456||question||1
16||2016-04-07 16:02:07.173||2016-04-07 16:02:08.347||1.174||startpage||1
17||2016-04-07 16:02:11.333||2016-04-07 16:02:12.339||1.006||startpage||1
23||2016-04-07 16:02:32.857||2016-04-07 16:02:34.287||1.4299999999999997||question||1
23||2016-04-07 16:02:36.724||2016-04-07 16:02:38.055||1.331||question||6
15||2016-04-07 16:01:59.152||null||0.0||questionnaire||1
15||2016-04-07 16:02:01.321||2016-04-07 16:02:06.298||4.977||page||1
15||2016-04-07 16:02:02.802||2016-04-07 16:02:03.905||1.103||question||2
16||2016-04-07 16:02:07.173||null||0.0||questionnaire||1
16||2016-04-07 16:02:08.37||null||0.0||page||1
17||2016-04-07 16:02:11.332||null||0.0||questionnaire||1
17||2016-04-07 16:02:12.357||null||0.0||page||1
18||2016-04-07 16:02:23.336||null||0.0||startpage||1
19||2016-04-07 16:02:24.356||null||0.0||questionnaire||1
20||2016-04-07 16:02:25.182||null||0.0||questionnaire||1
21||2016-04-07 16:02:26.242||null||0.0||questionnaire||1
22||2016-04-07 16:02:27.098||null||0.0||questionnaire||1
23||2016-04-07 16:02:29.058||2016-04-07 16:02:34.874||5.816||page||1
23||2016-04-07 16:02:29.095||2016-04-07 16:02:31.176||2.081||question||2
23||2016-04-07 16:02:28.109||2016-04-07 16:02:38.471||10.362||questionnaire||1
24||2016-04-07 16:02:40.853||2016-04-07 16:02:45.952||5.099||page||1
24||null||null||0.0||question||2
24||2016-04-07 16:02:39.693||2016-04-07 16:02:49.656||9.963||questionnaire||1
15||2016-04-07 16:02:03.905||2016-04-07 16:02:05.305||1.4||question||3
18||2016-04-07 16:02:23.336||null||0.0||questionnaire||1
19||2016-04-07 16:02:24.356||null||0.0||startpage||1
20||2016-04-07 16:02:25.182||null||0.0||startpage||1
21||2016-04-07 16:02:26.242||null||0.0||startpage||1
22||2016-04-07 16:02:27.098||null||0.0||startpage||1
23||2016-04-07 16:02:28.109||2016-04-07 16:02:29.034||0.925||startpage||1
23||2016-04-07 16:02:31.176||2016-04-07 16:02:32.857||1.681||question||3
23||2016-04-07 16:02:38.471||null||0.0||endpage||2
23||null||null||0.0||question||5
23||2016-04-07 16:02:34.889||2016-04-07 16:02:38.47||3.581||page||2
24||2016-04-07 16:02:49.656||null||0.0||endpage||2
24||2016-04-07 16:02:44.642||2016-04-07 16:02:47.542||2.9||question||4
24||2016-04-07 16:02:45.968||2016-04-07 16:02:49.655||3.687||page||2
23||2016-04-07 16:02:34.287||2016-04-07 16:02:36.724||2.437||question||4
24||2016-04-07 16:02:39.693||2016-04-07 16:02:40.829||1.136||startpage||1
24||2016-04-07 16:02:42.846||2016-04-07 16:02:44.642||1.7959999999999998||question||3
24||2016-04-07 16:02:40.889||2016-04-07 16:02:42.846||1.9569999999999999||question||1
24||2016-04-07 16:02:47.542||2016-04-07 16:02:48.95||1.408||question||6
24||null||null||0.0||question||5
27||2016-04-10 19:41:42.372||null||0.0||questionnaire||1
27||2016-04-10 19:41:42.372||2016-04-10 19:41:43.266||0.894||startpage||1
27||2016-04-10 19:41:43.289||null||0.0||page||1
